HashMap,23591500
HashMap,23873500
HashMap,10234400
TreeMap,20535400
TreeMap,9726300
TreeMap,5853000
LinkedHashMap,16906500
LinkedHashMap,6536800
LinkedHashMap,7584500
HashMap,17697000
HashMap,8241900
HashMap,7798600
HashMap,5566900
HashMap,4793300
HashMap,4818600
HashMap,6080700
TreeMap,21312700
TreeMap,10541000
TreeMap,6600500
TreeMap,7406200
TreeMap,7094700
TreeMap,7383500
TreeMap,5290300
LinkedHashMap,21922800
LinkedHashMap,8111400
LinkedHashMap,6063600
LinkedHashMap,7024200
LinkedHashMap,6090600
LinkedHashMap,6086200
LinkedHashMap,6394300
